sex,age,height,weight
0,20,170,70
0,25,170,70
0,30,170,70
0,20,175,70
0,25,175,70
0,30,175,70
0,20,180,70
0,25,180,70
0,30,180,70
0,20,170,80
0,25,170,80
0,30,170,80
0,20,175,80
0,25,175,80
0,30,175,80
0,20,180,80
0,25,180,80
0,30,180,80
0,20,170,90
0,25,170,90
0,30,170,90
0,20,175,90
0,25,175,90
0,30,175,90
0,20,180,90
0,25,180,90
0,30,180,90
1,20,160,50
1,25,160,50
1,30,160,50
1,20,165,50
1,25,165,50
1,30,165,50
1,20,170,50
1,25,170,50
1,30,170,50
1,20,160,60
1,25,160,60
1,30,160,60
1,20,165,60
1,25,165,60
1,30,165,60
1,20,170,60
1,25,170,60
1,30,170,60
1,20,160,70
1,25,160,70
1,30,160,70
1,20,165,70
1,25,165,70
1,30,165,70
1,20,170,70
1,25,170,70
1,30,170,70
